attempt_id,conjecture_id,response_id,status,resolution_bucket,arxiv_id,title,authors_affiliations,conjecture_summary,verdict,literature_overlap,well_specifiedness,viability_score,interestingness_score,completed_at,abs_url,pdf_url
2,152,resp_0a54f6aebbc34b3e0069adf48f400481969149da2575350831,completed,disconfirmed,2602.21846v1,Scalable Kernel-Based Distances for Statistical Inference and Integration,"Masha Naslidnyk (Department of Computer Science, University College London; institution inferred from UCL thesis source)","Finite-sample consistency claim for empirical kernel quantile discrepancy eKQD_p, asserting expected error O(L^-1/2 + N^-1/2) for p>1 under bounded-density and kernel-moment assumptions.","Disconfirmed via a rank-1-kernel reduction to Gaussian empirical W_2, giving a slower sqrt(log log N / N) rate.",Category (a) for the conjecture text itself: nearly exact in earlier KQE literature; the counterexample looks like a close new synthesis.,"Not fully well-specified: gamma and gamma_L are undefined in isolation, and the projection randomness behind the L-term is omitted.",0.75,0.4,2026-03-08T22:20:50Z,http://arxiv.org/abs/2602.21846v1,https://arxiv.org/pdf/2602.21846v1
3,368,resp_02eab29348bda58a0069adf9c2427081958b5574883e3fb82c,completed,disconfirmed,2602.13960v1,Steady-State Behavior of Constant-Stepsize Stochastic Approximation: Gaussian Approximation and Tail Bounds,"Zedong Wang (H. Milton Stewart School of Industrial and Systems Engineering, Georgia Tech); Yuyang Wang (Department of Mathematics, University of Michigan); Ijay Narang (School of Computer Science, Georgia Tech); Felix Wang (H. Milton Stewart School of Industrial and Systems Engineering, Georgia Tech); Yuzhou Wang (School of Mathematics, Georgia Tech); Siva Theja Maguluri (H. Milton Stewart School of Industrial and Systems Engineering, Georgia Tech)",Uniform bounded-derivative solvability claim for a Stein equation associated with the paper's generalized SGD steady-state approximation.,Disconfirmed as written; the |y| test function breaks the claimed smooth bounded-derivative Stein solution at 0.,No exact prior positive result because the statement is false; corrected nearby Stein-equation results are close in the literature (category (b)).,"Poorly specified: notation is overloaded, Z is not defined locally, and nearby formulas for the target diffusion/operator are inconsistent.",0.85,0.35,2026-03-08T22:43:27Z,http://arxiv.org/abs/2602.13960v1,https://arxiv.org/pdf/2602.13960v1
5,316,resp_087da05a88d418bf0069adf9c3f56c81a1a5abede26b734ff6,completed,unresolved,2602.15797v1,On Graham's rearrangement conjecture,"Huy Tuan Pham (Department of Mathematics, California Institute of Technology); Lisa Sauermann (Institute for Applied Mathematics, University of Bonn)",Graham rearrangement conjecture: every subset of Z_p \ {0} admits an ordering with pairwise distinct partial sums.,Unresolved; strong recent progress proves the conjecture for all sufficiently large primes but not all primes.,"Category (b): close versions exist, including all-sufficiently-large-prime results, but not the exact all-primes theorem.",Well specified with the immediately preceding definition of valid ordering; not fully self-contained as an isolated sentence.,0.8,0.78,2026-03-08T22:45:52Z,http://arxiv.org/abs/2602.15797v1,https://arxiv.org/pdf/2602.15797v1
6,124,resp_04ce2e9818fa31ea0069adf9c4cbbc8190a2862baa8e2771e8,completed,unresolved,2602.23066v1,Matroids from gain graphs over quotient groups,"Zach Walsh (Department of Mathematics and Statistics, Auburn University)","Universal-model existence conjecture for the matroid class M(Gamma, Gamma_1, A) arising from Frobenius groups and their complements.","Unresolved; plausible universal-model candidates exist, but no proof or counterexample was found.","Category (b): close universal-model results are known for the extreme special cases, but not this full interpolation theorem.","Reasonably well specified once the paper's definitions of M(Gamma, Gamma_1, A) and universal models are imported.",0.8,0.59,2026-03-08T22:47:17Z,http://arxiv.org/abs/2602.23066v1,https://arxiv.org/pdf/2602.23066v1
9,756,resp_08eaf70304f817840069adf9c78d008197850be433fac9bb4b,completed,disconfirmed,2603.04271v1,Continuity of Magnitude at Skew Finite Subsets of $\ell_1^N$,Sara Kalisnik (Pennsylvania State University); Davorin Lesnik (University of Ljubljana),"Asymptotic determinant conjecture for cubical thickenings of skew finite subsets of l1^N, predicting leading term 4^k r^k + O(r^{k+1}).","Disconfirmed by a one-dimensional counterexample F={0,1} in l1, where the determinant leading term is not 4^k r^k.",False as stated; the counterexample is close to classical exponential-kernel determinant formulas (category (b)).,"Reasonably well specified in-paper, but not fully self-contained as a standalone snippet because key notation is imported.",0.8,0.33,2026-03-08T22:44:12Z,http://arxiv.org/abs/2603.04271v1,https://arxiv.org/pdf/2603.04271v1
10,472,resp_0460c5a24142bd970069adf9c87d2481a1983daa3cc93282f3,completed,confirmed,2602.09607v1,On the Hilbert depth of the quotient ring of the edge ideal of a complete bipartite graph,"Andreea I. Bordianu (University Politehnica of Bucharest, Faculty of Applied Sciences); Mircea Cimpoeas (National University of Science and Technology Politehnica Bucharest, Faculty of Applied Sciences; Simion Stoilow Institute of Mathematics)","Four explicit product inequalities used to sharpen lower bounds on the Hilbert depth h(n,n) for edge ideals of complete bipartite graphs.","Confirmed; all four product inequalities hold, making the paper's conditional proposition unconditional.","Not already proved verbatim, but very close to classical gamma-ratio/binomial-product inequalities (category (b)).",Mostly well specified; only a mild ambiguity remains about whether k is integer-only or any sufficiently large real value.,0.8,0.32,2026-03-08T22:55:39Z,http://arxiv.org/abs/2602.09607v1,https://arxiv.org/pdf/2602.09607v1
11,786,resp_0485f608e78bac7a0069adf9c90ec4819cb83d2d923f653995,completed,disconfirmed,2603.02863v1,Optimal play in Yu-Gi-Oh! TCG is hard,"Orazio Nicolosi (Department of Mathematics ""Giuseppe Peano"", University of Torino); Federico Pisciotta (Department of Mathematics, Computer Science and Physics, University of Udine); Lorenzo Bresolin (Department of Mathematics, University of Pisa)",Computability conjecture asserting that from a legal Yu-Gi-Oh TCG configuration and legal move one can compute the consequent configuration.,Disconfirmed under the paper's own later formalization: the next-state map is not single-valued on information states.,"The specific disconfirmation appears relatively novel, though the conjectural template is close to prior TCG/MTG complexity work.","Poorly specified: configuration semantics are informal and depend on hidden information, randomness, and evolving rules documents.",0.8,0.22,2026-03-08T22:43:54Z,http://arxiv.org/abs/2603.02863v1,https://arxiv.org/pdf/2603.02863v1
12,587,resp_0fcfba46330cd0130069adf9c99d6481958cb30d80980f7ee6,completed,partial,2602.07346v1,On the Classification of Perfect Prishchepov Groups,"Layla Sorkatti (Department of Pure Mathematics, University of Khartoum and Al Neelain University); Ihechukwu Chinyere (Department of Mathematics and Applied Mathematics, University of Pretoria)","Classification conjecture saying a perfect Prishchepov group P(r,n,k,r-1,q) must be of type Z-tilde under the stated congruence exclusions.","Partially confirmed; the gcd(n,6)=1 case is proved, but the unrestricted statement remains open.","Category (b): the unrestricted statement is not yet in the literature, but the coprime-to-6 case is now very close to complete.","Mathematically well specified in-paper, but not self-contained without the paper's group-theoretic definitions.",0.75,0.6,2026-03-08T22:44:35Z,http://arxiv.org/abs/2602.07346v1,https://arxiv.org/pdf/2602.07346v1
13,503,resp_0cce61bb58dbe9820069ae1cea077c819296296702008f48d0,completed,resolved-in-paper / draft question,2602.09352v1,Quadratic irrational analogues of Ramanujan's series for $1/π$,"John M. Campbell (Department of Mathematics and Statistics, Dalhousie University); Shaun Cooper (School of Mathematical and Computational Sciences, Massey University); Dongxi Ye (School of AI and Liberal Arts, Beijing Normal-Hong Kong Baptist University)","Question about the remaining N=15 irrational Ramanujan-type series, asking whether that lone case is already explained by the paper's transformation theory and known series network.","Not literally a yes/no conjecture, but under the intended reading the N=15 case is already settled positively by later results in the same paper.",Category (a) if the target 2026 paper counts as literature: the intended resolution is already essentially present there; pre-2026 overlap is closer to category (b).,"Poorly specified: the source text is a question, not a clean proposition, and leaves “related” undefined.",0.0,0.0,2026-03-09T01:12:55Z,http://arxiv.org/abs/2602.09352v1,https://arxiv.org/pdf/2602.09352v1
14,494,resp_0ad2e30dbab75b8a0069ae1ea0c34881a289f7eed5bb9c8b44,completed,qualified confirmed,2602.09352v1,Quadratic irrational analogues of Ramanujan's series for $1/π$,"John M. Campbell (Department of Mathematics and Statistics, Dalhousie University); Shaun Cooper (School of Mathematical and Computational Sciences, Massey University); Dongxi Ye (School of AI and Liberal Arts, Beijing Normal-Hong Kong Baptist University)","Cross-level modular-relation conjecture: the level-2 quadratic series with N in {25,45,85} should correspond to the level-10 series with N in {5,9,17}.","Confirmed under the paper's natural hypergeometric/modular notion of “related”, with pairings 25↔5, 45↔9, and 85↔17.","Category (b): the exact draft wording is not stated verbatim in prior literature, but the proof mechanism is already very close to existing modular-transformation results.",Moderately specified once “related” is read in the paper's standard transformation-theoretic sense; otherwise still ambiguous.,0.8,0.4,2026-03-09T01:24:31Z,http://arxiv.org/abs/2602.09352v1,https://arxiv.org/pdf/2602.09352v1
